Date,Time,PU_Address,DO_Address,Routing Details,PU_Address,Status
07/01/2014,07:15 AM,"Brooklyn Museum, 200 Eastern Pkwy., BK NY;","1 Brookdale Plaza, BK NY; ","PU: Brooklyn Museum, 200 Eastern Pkwy., BK NY; DO: 1 Brookdale Plaza, BK NY; ","Brooklyn Museum, 200 Eastern Pkwy., BK NY; DO: 1 Brookdale Plaza, BK NY; ",Cancelled
07/01/2014,07:30 AM,"33 Robert Dr., Short Hills NJ;","John F Kennedy International Airport, vitona Airlines; ","PU: 33 Robert Dr., Short Hills NJ; DO: John F Kennedy International Airport, vitona Airlines; ","33 Robert Dr., Short Hills NJ; DO: John F Kennedy International Airport, vitona Airlines; ",Arrived
07/01/2014,08:00 AM,"60 Glenmore Ave., BK NY;","2171 Nostrand Ave., BK NY; ","PU: 60 Glenmore Ave., BK NY; DO: 2171 Nostrand Ave., BK NY; ","60 Glenmore Ave., BK NY; DO: 2171 Nostrand Ave., BK NY; ",Assigned
07/01/2014,09:00 AM,"128 East 31 St., BK NY;","369 93rd St., BK NY; ","PU: 128 East 31 St., BK NY; DO: 369 93rd St., BK NY; ","128 East 31 St., BK NY; DO: 369 93rd St., BK NY; ",Assigned
07/01/2014,09:30 AM,"139-39 35 Ave., Flushing NY;",La Guardia Airport; ,"PU: 139-39 35 Ave., Flushing NY; DO: La Guardia Airport; ","139-39 35 Ave., Flushing NY; DO: La Guardia Airport; ",Assigned
07/01/2014,12:00 PM,"545 17 St., BK NY;",La Guardia Airport; ,"PU: 545 17 St., BK NY; DO: La Guardia Airport; ","545 17 St., BK NY; DO: La Guardia Airport; ",Arrived
07/01/2014,12:30 PM,"127 Guernsey St., BK NY;","121 Dekalb Ave., BK NY; ","PU: 127 Guernsey St., BK NY; DO: 121 Dekalb Ave., BK NY; ","127 Guernsey St., BK NY; DO: 121 Dekalb Ave., BK NY; ",Assigned
07/01/2014,01:00 PM,"657 St Marks Ave., BK NY;","240 South 3rd St., BK NY; ","PU: 657 St Marks Ave., BK NY; DO: 240 South 3rd St., BK NY; ","657 St Marks Ave., BK NY; DO: 240 South 3rd St., BK NY; ",Assigned
07/01/2014,02:30 PM,"1611 47th St., BK NY;","1048 49th St., BK NY; ","PU: 1611 47th St., BK NY; DO: 1048 49th St., BK NY; ","1611 47th St., BK NY; DO: 1048 49th St., BK NY; ",Arrived
07/01/2014,02:45 PM,"364 87th Street, BK NY;",John F Kennedy International Airport; ,"PU: 364 87th Street, BK NY; DO: John F Kennedy International Airport; ","364 87th Street, BK NY; DO: John F Kennedy International Airport; ",Assigned
07/01/2014,08:00 PM,"35-36 32 St., Astoria NY;","1342 St. Johns Pl., BK NY; ","PU: 35-36 32 St., Astoria NY; DO: 1342 St. Johns Pl., BK NY; ","35-36 32 St., Astoria NY; DO: 1342 St. Johns Pl., BK NY; ",Assigned
07/02/2014,03:30 AM,"862 East 21 Street, BK NY;",La Guardia Airport; ,"PU: 862 East 21 Street, BK NY; DO: La Guardia Airport; ","862 East 21 Street, BK NY; DO: La Guardia Airport; ",Arrived
07/02/2014,02:00 PM,"1539 71st Street, BK NY;","54 Watts Street, NY NY; ","PU: 1539 71st Street, BK NY; DO: 54 Watts Street, NY NY; ","1539 71st Street, BK NY; DO: 54 Watts Street, NY NY; ",Assigned
07/02/2014,03:00 PM,"208 Elmwood ave, BK NY;",John F Kennedy International Airport; ,"PU: 208 Elmwood ave, BK NY; DO: John F Kennedy International Airport; ","208 Elmwood ave, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/02/2014,08:45 PM,"543 1 St., BK NY;",John F Kennedy International Airport; ,"PU: 543 1 St., BK NY; DO: John F Kennedy International Airport; ","543 1 St., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/03/2014,05:00 AM,513 Montgomery StreetBK NY;,John F Kennedy International Airport; ,PU: 513 Montgomery StreetBK NY; DO: John F Kennedy International Airport; ,513 Montgomery StreetBK NY; DO: John F Kennedy International Airport; ,Arrived
07/03/2014,05:45 AM,"475 St Marks Ave., BK NY;","John F Kennedy International Airport, American Airlines; ","PU: 475 St Marks Ave., BK NY; DO: John F Kennedy International Airport, American Airlines; ","475 St Marks Ave., BK NY; DO: John F Kennedy International Airport, American Airlines; ",Assigned
07/03/2014,06:55 AM,"1094 Carroll Street, BK NY;","Newark Liberty International Airport, United Airlines; ","PU: 1094 Carroll Street, BK NY; DO: Newark Liberty International Airport, United Airlines; ","1094 Carroll Street, BK NY; DO: Newark Liberty International Airport, United Airlines; ",Arrived
07/03/2014,07:45 AM,"31 E. 2 St., BK NY;","3718 Henry Hudson Pkwy, BX NY; ","PU: 31 E. 2 St., BK NY; DO: 3718 Henry Hudson Pkwy, BX NY; ","31 E. 2 St., BK NY; DO: 3718 Henry Hudson Pkwy, BX NY; ",Assigned
07/03/2014,08:00 AM,"220 Prospect Park W., BK NY;",La Guardia Airport; ,"PU: 220 Prospect Park W., BK NY; DO: La Guardia Airport; ","220 Prospect Park W., BK NY; DO: La Guardia Airport; ",Assigned
07/03/2014,08:30 AM,"303 Vernon Ave., BK NY;","856 Dekalb Ave., BK NY; ","PU: 303 Vernon Ave., BK NY; DO: 856 Dekalb Ave., BK NY; ","303 Vernon Ave., BK NY; DO: 856 Dekalb Ave., BK NY; ",Cancelled
07/03/2014,09:30 AM,"275 Bay 37 St., BK NY;","1309 Avenue P, BK NY; ","PU: 275 Bay 37 St., BK NY; DO: 1309 Avenue P, BK NY; ","275 Bay 37 St., BK NY; DO: 1309 Avenue P, BK NY; ",Arrived
07/03/2014,09:30 AM,"590 Dekalb Ave., BK NY;","856 Dekalb AvE., BK NY; ","PU: 590 Dekalb Ave., BK NY; DO: 856 Dekalb AvE., BK NY; ","590 Dekalb Ave., BK NY; DO: 856 Dekalb AvE., BK NY; ",Arrived
07/03/2014,09:30 AM,"350 Sterling Street, BK NY;",Newark Liberty International Airport; ,"PU: 350 Sterling Street, BK NY; DO: Newark Liberty International Airport; ","350 Sterling Street, BK NY; DO: Newark Liberty International Airport; ",Arrived
07/03/2014,12:00 PM,"243 Kingston Ave., BK NY;","481 St Marks Ave., BK NY; ","PU: 243 Kingston Ave., BK NY; DO: 481 St Marks Ave., BK NY; ","243 Kingston Ave., BK NY; DO: 481 St Marks Ave., BK NY; ",Assigned
07/03/2014,01:30 PM,"1611 47th St., BK NY;","924 49th St., BK NY; ","PU: 1611 47th St., BK NY; DO: 924 49th St., BK NY; ","1611 47th St., BK NY; DO: 924 49th St., BK NY; ",Assigned
07/03/2014,04:15 PM,"99 Saint James Place, BK NY;",La Guardia Airport; ,"PU: 99 Saint James Place, BK NY; DO: La Guardia Airport; ","99 Saint James Place, BK NY; DO: La Guardia Airport; ",Assigned
07/04/2014,04:45 AM,"459 18 St., BK NY;",John F Kennedy International Airport; ,"PU: 459 18 St., BK NY; DO: John F Kennedy International Airport; ","459 18 St., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/04/2014,06:00 AM,"878 71 St., BK NY;","108 Jay St., BK NY; ","PU: 878 71 St., BK NY; DO: 108 Jay St., BK NY; ","878 71 St., BK NY; DO: 108 Jay St., BK NY; ",Arrived
07/04/2014,06:00 AM,"180 Prospect Place, BK NY;",Penn StationNY NY; ,"PU: 180 Prospect Place, BK NY; DO: Penn StationNY NY; ","180 Prospect Place, BK NY; DO: Penn StationNY NY; ",Assigned
07/04/2014,06:45 AM,"615 Hendrix St., BK NY;",La Guardia Airport; ,"PU: 615 Hendrix St., BK NY; DO: La Guardia Airport; ","615 Hendrix St., BK NY; DO: La Guardia Airport; ",Arrived
07/04/2014,07:30 AM,"John F Kennedy International Airport, JetBlue Airways;","St., BK NY; ","PU: John F Kennedy International Airport, JetBlue Airways; DO: St., BK NY; ","John F Kennedy International Airport, JetBlue Airways; DO: St., BK NY; ",Arrived
07/04/2014,08:45 AM,"91 Bleeker St., Newark NJ;",John F Kennedy International Airport; ,"PU: 91 Bleeker St., Newark NJ; DO: John F Kennedy International Airport; ","91 Bleeker St., Newark NJ; DO: John F Kennedy International Airport; ",Arrived
07/04/2014,12:00 PM,"101 Bedford Ave., BK NY;",John F Kennedy International Airport; ,"PU: 101 Bedford Ave., BK NY; DO: John F Kennedy International Airport; ","101 Bedford Ave., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/04/2014,01:15 PM,"92 Prospect Park W., BK NY;",La Guardia Airport; ,"PU: 92 Prospect Park W., BK NY; DO: La Guardia Airport; ","92 Prospect Park W., BK NY; DO: La Guardia Airport; ",Arrived
07/05/2014,04:30 AM,"540 11th Street, BK NY;",La Guardia Airport; ,"PU: 540 11th Street, BK NY; DO: La Guardia Airport; ","540 11th Street, BK NY; DO: La Guardia Airport; ",Arrived
07/05/2014,05:00 AM,"283 23 St., BK NY;","La Guardia Airport, JetBlue Airways; ","PU: 283 23 St., BK NY; DO: La Guardia Airport, JetBlue Airways; ","283 23 St., BK NY; DO: La Guardia Airport, JetBlue Airways; ",Arrived
07/05/2014,04:00 PM,"Windsor pl., BK NY; ",,"PU: 135 Windsor pl., BK NY; ","135 Windsor pl., BK NY; ",Assigned
07/06/2014,03:15 AM,"853 Empire Blvd., BK NY;","Newark Liberty International Airport, United Airlines; ","PU: 853 Empire Blvd., BK NY; DO: Newark Liberty International Airport, United Airlines; ","853 Empire Blvd., BK NY; DO: Newark Liberty International Airport, United Airlines; ",Arrived
07/06/2014,04:00 AM,"544 Marcy Avenue, BK NY;","La Guardia Airport, US Airways; ","PU: 544 Marcy Avenue, BK NY; DO: La Guardia Airport, US Airways; ","544 Marcy Avenue, BK NY; DO: La Guardia Airport, US Airways; ",Assigned
07/06/2014,05:30 AM,"500 Prospect Ave., BK NY;",Newark Liberty International Airport; ,"PU: 500 Prospect Ave., BK NY; DO: Newark Liberty International Airport; ","500 Prospect Ave., BK NY; DO: Newark Liberty International Airport; ",Arrived
07/06/2014,08:15 AM,"1136 Jackson Ave., BX NY;","25 Vanderbilt Ave., BK NY; ","PU: 1136 Jackson Ave., BX NY; DO: 25 Vanderbilt Ave., BK NY; ","1136 Jackson Ave., BX NY; DO: 25 Vanderbilt Ave., BK NY; ",Assigned
07/06/2014,08:30 AM,"53-05 Queens Blvd., Forest Hills NY;",La Guardia Airport; ,"PU: 53-05 Queens Blvd., Forest Hills NY; DO: La Guardia Airport; ","53-05 Queens Blvd., Forest Hills NY; DO: La Guardia Airport; ",Assigned
07/06/2014,01:00 PM,"Best Western Inn, 522 W38 St., NY NY;","HOFSTRA University, 1000 Fulton Avenue, Hempstead NY; ","PU: Best Western Inn, 522 W38 St., NY NY; DO: HOFSTRA University, 1000 Fulton Avenue, Hempstead NY; ","Best Western Inn, 522 W38 St., NY NY; DO: HOFSTRA University, 1000 Fulton Avenue, Hempstead NY; ",Assigned
07/06/2014,05:00 PM,"1319 Elm Ave, BK NY;","John F Kennedy International Airport, Delta Air Lines; ","PU: 1319 Elm Ave, BK NY; DO: John F Kennedy International Airport, Delta Air Lines; ","1319 Elm Ave, BK NY; DO: John F Kennedy International Airport, Delta Air Lines; ",Arrived
07/07/2014,12:15 AM,"5721 8 Ave., BK NY;","Dr., Staten Island NY; ","PU: 5721 8 Ave., BK NY; DO: Dr., Staten Island NY; ","5721 8 Ave., BK NY; DO: Dr., Staten Island NY; ",Assigned
07/07/2014,09:00 AM,"341 Kingsborough 3 walk, BK NY;","783  Classon Ave., BK NY; ","PU: 341 Kingsborough 3 walk, BK NY; DO: 783  Classon Ave., BK NY; ","341 Kingsborough 3 walk, BK NY; DO: 783  Classon Ave., BK NY; ",Cancelled
07/07/2014,09:00 AM,"1459 E 84 St., BK NY;","2146 Beverly  Rd., BK NY; ","PU: 1459 E 84 St., BK NY; DO: 2146 Beverly  Rd., BK NY; ","1459 E 84 St., BK NY; DO: 2146 Beverly  Rd., BK NY; ",Cancelled
07/07/2014,09:30 AM,"1240 Washington Ave., BX NY;",La Guardia Airport; ,"PU: 1240 Washington Ave., BX NY; DO: La Guardia Airport; ","1240 Washington Ave., BX NY; DO: La Guardia Airport; ",Assigned
07/07/2014,10:00 AM,"607 20 St., BK NY;",John F Kennedy International Airport; ,"PU: 607 20 St., BK NY; DO: John F Kennedy International Airport; ","607 20 St., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/07/2014,01:00 PM,"657 St Marks Ave., BK NY;","387 Eastern Pkwy., BK NY; ","PU: 657 St Marks Ave., BK NY; DO: 387 Eastern Pkwy., BK NY; ","657 St Marks Ave., BK NY; DO: 387 Eastern Pkwy., BK NY; ",Arrived
07/07/2014,01:30 PM,"109 Lewis Ave., BK NY;","451 Clarkson Ave., BK NY; ","PU: 109 Lewis Ave., BK NY; DO: 451 Clarkson Ave., BK NY; ","109 Lewis Ave., BK NY; DO: 451 Clarkson Ave., BK NY; ",Arrived
07/07/2014,03:50 PM,"809 Friel Place, BK NY;",La Guardia Airport; ,"PU: 809 Friel Place, BK NY; DO: La Guardia Airport; ","809 Friel Place, BK NY; DO: La Guardia Airport; ",Arrived
07/07/2014,04:00 PM,"15 Central Park West, NY NY;","200 West Street, NY NY; ","PU: 15 Central Park West, NY NY; DO: 200 West Street, NY NY; ","15 Central Park West, NY NY; DO: 200 West Street, NY NY; ",Cancelled
07/09/2014,06:30 AM,"916 7 Ave., BK NY;",John F Kennedy International Airport; ,"PU: 916 7 Ave., BK NY; DO: John F Kennedy International Airport; ","916 7 Ave., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/09/2014,09:00 AM,"55 Goodwin Pl., BK NY;","56 Dekalb Ave., BK NY; ","PU: 55 Goodwin Pl., BK NY; DO: 56 Dekalb Ave., BK NY; ","55 Goodwin Pl., BK NY; DO: 56 Dekalb Ave., BK NY; ",Arrived
07/09/2014,09:00 AM,"365 Powell Ave., BK NY;","541 Clarkson Ave., BK NY; ","PU: 365 Powell Ave., BK NY; DO: 541 Clarkson Ave., BK NY; ","365 Powell Ave., BK NY; DO: 541 Clarkson Ave., BK NY; ",Arrived
07/09/2014,09:30 AM,"1209 Bushwick Ave., BK NY;","374  Stockholm St., BK NY; ","PU: 1209 Bushwick Ave., BK NY; DO: 374  Stockholm St., BK NY; ","1209 Bushwick Ave., BK NY; DO: 374  Stockholm St., BK NY; ",Arrived
07/09/2014,10:00 AM,"690 Gates Ave., BK NY;","374 Stockholm St., BK NY; ","PU: 690 Gates Ave., BK NY; DO: 374 Stockholm St., BK NY; ","690 Gates Ave., BK NY; DO: 374 Stockholm St., BK NY; ",Arrived
07/09/2014,10:00 AM,"130 3rd Ave., BK NY;","121 DeKalb Ave., BK NY; ","PU: 130 3rd Ave., BK NY; DO: 121 DeKalb Ave., BK NY; ","130 3rd Ave., BK NY; DO: 121 DeKalb Ave., BK NY; ",Arrived
07/09/2014,01:00 PM,"1615 8th Avenue, BK NY;","Avenue M & E 18 St., BK NY; ","PU: 1615 8th Avenue, BK NY; DO: Avenue M & E 18 St., BK NY; ","1615 8th Avenue, BK NY; DO: Avenue M & E 18 St., BK NY; ",Arrived
07/11/2014,05:00 AM,"35 McDonald Ave., BK NY;",La Guardia Airport; ,"PU: 35 McDonald Ave., BK NY; DO: La Guardia Airport; ","35 McDonald Ave., BK NY; DO: La Guardia Airport; ",Assigned
07/11/2014,06:00 AM,"2270 Plumb 1st St., BK NY;","John F Kennedy International Airport, Delta Air Lines; ","PU: 2270 Plumb 1st St., BK NY; DO: John F Kennedy International Airport, Delta Air Lines; ","2270 Plumb 1st St., BK NY; DO: John F Kennedy International Airport, Delta Air Lines; ",Arrived
07/11/2014,06:25 AM,"1324 E 5th St,, BK NY;",La Guardia Airport; ,"PU: 1324 E 5th St,, BK NY; DO: La Guardia Airport; ","1324 E 5th St,, BK NY; DO: La Guardia Airport; ",Arrived
07/11/2014,07:00 AM,"7902 23rd ave, Brooklyn, NY 11214, BK NY;",John F Kennedy International Airport; ,"PU: 7902 23rd ave, Brooklyn, NY 11214, BK NY; DO: John F Kennedy International Airport; ","7902 23rd ave, Brooklyn, NY 11214, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/11/2014,12:30 PM,44 Court StreetBK NY;,La Guardia Airport; ,PU: 44 Court StreetBK NY; DO: La Guardia Airport; ,44 Court StreetBK NY; DO: La Guardia Airport; ,Arrived
07/11/2014,11:20 PM,"La Guardia Airport, American Airlines;","Canarsie, 10561 Flatlands 6th St., BK NY; ","PU: La Guardia Airport, American Airlines; DO: Canarsie, 10561 Flatlands 6th St., BK NY; ","La Guardia Airport, American Airlines; DO: Canarsie, 10561 Flatlands 6th St., BK NY; ",Assigned
07/11/2014,11:30 PM,"863 50th Street, BK NY;",John F Kennedy International Airport; ,"PU: 863 50th Street, BK NY; DO: John F Kennedy International Airport; ","863 50th Street, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/12/2014,01:00 PM,"53 Broadway, BK NY;",Grand Central Station ; ,"PU: 53 Broadway, BK NY; DO: Grand Central Station ; ","53 Broadway, BK NY; DO: Grand Central Station ; ",Cancelled
07/13/2014,05:00 PM,"Wyndham Garden Hotel, 550 Route 1/9 South, Newark NJ;","1257 38 St., BK NY; ","PU: Wyndham Garden Hotel, 550 Route 1/9 South, Newark NJ; DO: 1257 38 St., BK NY; ","Wyndham Garden Hotel, 550 Route 1/9 South, Newark NJ; DO: 1257 38 St., BK NY; ",Cancelled
07/14/2014,07:30 AM,"1123 Albemarle Rd., BK NY;",John F Kennedy International Airport; ,"PU: 1123 Albemarle Rd., BK NY; DO: John F Kennedy International Airport; ","1123 Albemarle Rd., BK NY; DO: John F Kennedy International Airport; ",Cancelled
07/14/2014,08:30 AM,"1618 10 Ave., B NY;",John F Kennedy International Airport; ,"PU: 1618 10 Ave., B NY; DO: John F Kennedy International Airport; ","1618 10 Ave., B NY; DO: John F Kennedy International Airport; ",Arrived
07/14/2014,02:00 PM,"115 Ashland Pl, BK NY;",La Guardia Airport; ,"PU: 115 Ashland Pl, BK NY; DO: La Guardia Airport; ","115 Ashland Pl, BK NY; DO: La Guardia Airport; ",Arrived
07/15/2014,02:00 PM,"437 Prospect Ave, BK NY;",La Guardia Airport; ,"PU: 437 Prospect Ave, BK NY; DO: La Guardia Airport; ","437 Prospect Ave, BK NY; DO: La Guardia Airport; ",Arrived
07/15/2014,04:30 PM,"356 W23 St., NY NY; ST: Newark Liberty International Airport, United Airlines;","Holiday Inn, 150 Delancey St., NY NY; ","PU: 356 W23 St., NY NY; ST: Newark Liberty International Airport, United Airlines; DO: Holiday Inn, 150 Delancey St., NY NY; ","356 W23 St., NY NY; ST: Newark Liberty International Airport, United Airlines; DO: Holiday Inn, 150 Delancey St., NY NY; ",Arrived
07/15/2014,08:00 PM,"717 President Street, BK NY;",John F Kennedy International Airport; ,"PU: 717 President Street, BK NY; DO: John F Kennedy International Airport; ","717 President Street, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/16/2014,08:00 AM,"Wyndham Garden Hotel, 550 Route 1/9 South, Newark NY;","58 White St., NY NY; ","PU: Wyndham Garden Hotel, 550 Route 1/9 South, Newark NY; DO: 58 White St., NY NY; ","Wyndham Garden Hotel, 550 Route 1/9 South, Newark NY; DO: 58 White St., NY NY; ",Arrived
07/16/2014,08:30 AM,"437 Prospect Ave, BK NY;",La Guardia Airport; ,"PU: 437 Prospect Ave, BK NY; DO: La Guardia Airport; ","437 Prospect Ave, BK NY; DO: La Guardia Airport; ",Arrived
07/16/2014,11:00 AM,"326 W 40 St., NY NY;","178 Broadway, BK NY; ","PU: 326 W 40 St., NY NY; DO: 178 Broadway, BK NY; ","326 W 40 St., NY NY; DO: 178 Broadway, BK NY; ",Arrived
07/16/2014,12:45 PM,"431 4th Street, BK NY;","1681 Boardway, NY NY; ","PU: 431 4th Street, BK NY; DO: 1681 Boardway, NY NY; ","431 4th Street, BK NY; DO: 1681 Boardway, NY NY; ",Arrived
07/16/2014,05:30 PM,"402 7th Avenue, BK NY;",La Guardia Airport; ,"PU: 402 7th Avenue, BK NY; DO: La Guardia Airport; ","402 7th Avenue, BK NY; DO: La Guardia Airport; ",Arrived
07/17/2014,03:00 AM,"500 Grand Avenue, apt. 1A, BK NY;",Newark Liberty International Airport; ,"PU: 500 Grand Avenue, apt. 1A, BK NY; DO: Newark Liberty International Airport; ","500 Grand Avenue, apt. 1A, BK NY; DO: Newark Liberty International Airport; ",Arrived
07/17/2014,04:30 AM,"350 Sterling St, BK NY;",John F Kennedy International Airport; ,"PU: 350 Sterling St, BK NY; DO: John F Kennedy International Airport; ","350 Sterling St, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/17/2014,05:00 AM,"22 Douglass St., BK NY;",Newark Liberty International Airport; ,"PU: 22 Douglass St., BK NY; DO: Newark Liberty International Airport; ","22 Douglass St., BK NY; DO: Newark Liberty International Airport; ",Arrived
07/17/2014,03:45 PM,"6201 Fort Hamilton Pkwy, BK NY;","18 Avenue U, BK NY; ","PU: 6201 Fort Hamilton Pkwy, BK NY; DO: 18 Avenue U, BK NY; ","6201 Fort Hamilton Pkwy, BK NY; DO: 18 Avenue U, BK NY; ",Assigned
07/17/2014,09:05 PM,"La Guardia Airport, Southwest Airlines;","663 51st Street, BK NY; ","PU: La Guardia Airport, Southwest Airlines; DO: 663 51st Street, BK NY; ","La Guardia Airport, Southwest Airlines; DO: 663 51st Street, BK NY; ",Arrived
07/18/2014,10:00 AM,"Laundra, 6205 Ft. Hamilton Pkwy, BK NY;",John F Kennedy International Airport; ,"PU: Laundra, 6205 Ft. Hamilton Pkwy, BK NY; DO: John F Kennedy International Airport; ","Laundra, 6205 Ft. Hamilton Pkwy, BK NY; DO: John F Kennedy International Airport; ",Assigned
07/19/2014,06:10 AM,"283 E2 St., BK NY;",La Guardia Airport; ,"PU: 283 E2 St., BK NY; DO: La Guardia Airport; ","283 E2 St., BK NY; DO: La Guardia Airport; ",Arrived
07/19/2014,12:30 PM,"356 W23 St., NY NY;","1 Center St., Newark NJ; ","PU: 356 W23 St., NY NY; DO: 1 Center St., Newark NJ; ","356 W23 St., NY NY; DO: 1 Center St., Newark NJ; ",Assigned
07/19/2014,01:30 PM,"3021 Ft. Hamilton Pkwy., BK NY;",John F Kennedy International Airport; ,"PU: 3021 Ft. Hamilton Pkwy., BK NY; DO: John F Kennedy International Airport; ","3021 Ft. Hamilton Pkwy., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/20/2014,05:30 AM,"123 Parkside Ave., BK NY;",John F Kennedy International Airport; ,"PU: 123 Parkside Ave., BK NY; DO: John F Kennedy International Airport; ","123 Parkside Ave., BK NY; DO: John F Kennedy International Airport; ",Assigned
07/20/2014,06:15 AM,"2515 Glenwood Road, BK NY;",John F Kennedy International Airport; ,"PU: 2515 Glenwood Road, BK NY; DO: John F Kennedy International Airport; ","2515 Glenwood Road, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/20/2014,10:00 AM,"155 Dean St., BK NY;","6565 Flatlands Ave., BK NY; ","PU: 155 Dean St., BK NY; DO: 6565 Flatlands Ave., BK NY; ","155 Dean St., BK NY; DO: 6565 Flatlands Ave., BK NY; ",Assigned
07/20/2014,12:30 PM,"133 E 3 St., BK NY;",John F Kennedy International Airport; ,"PU: 133 E 3 St., BK NY; DO: John F Kennedy International Airport; ","133 E 3 St., BK NY; DO: John F Kennedy International Airport; ",Assigned
07/21/2014,06:00 AM,"266 prospect park west, brooklyn NY;",jfk ; ,"PU: 266 prospect park west, brooklyn NY; DO: jfk ; ","266 prospect park west, brooklyn NY; DO: jfk ; ",Assigned
